Prey / Predator,AtlanticHerring<4,AtlanticHerring,AtlanticMackerel<1.7,AtlanticMackerel,BlackSeaBass<2.8,BlackSeaBass,Scup<1,Scup,SpinyDogfish,StripedBass<5,StripedBass,Goosefish<5,Goosefish,WinterFlounder<3,WinterFlounder,Squids<1.9,Squids,Flounders<3.5,Flounders,SkateRays,Hakes<2.1,Hakes,Benthopelagics<2,Benthopelagics,MiscellaneousDemersals<2.2,MiscellaneousDemersals,ShallowDemersal<2.3,ShallowDemersal,WhitePerch<1.75,WhitePerch,AtlanticTomcod<1.9,AtlanticTomcod
StripedBass,0,0.8,0,0.58,0,0.58,0,0.58,0.48,0,0.3,0,0.32,0,0.8,0,0.58,0,0.58,0.6,0,0.47,0,0.8,0,0.47,0,0.71,0,0.37,0,0.8
Goosefish<5,0.8,0.8,0.8,0.8,0.8,0,0.8,0.01,0.8,0.8,0.8,0.3,0.3,0.8,0,0.8,0.8,0.8,0,0,0.8,0.01,0.8,0.8,0.8,0,0.8,0.8,0.8,0.5,0.8,0.01
Goosefish,0,0.17,0,0.8,0,0.8,0,0.8,0.8,0,0.32,0,0.3,0,0.32,0,0.8,0,0.8,0.8,0,0.8,0,0.16,0,0.75,0,0.67,0,0,0,0.47
WinterFlounder<3,0.8,0.8,0.8,0.8,0.8,0,0.8,0.01,0.8,0.8,0.8,0.8,0,0.01,0.01,0.8,0.58,0.8,0,0,0.8,0.01,0.8,0.8,0.8,0,0.8,0.8,0.8,0.5,0.8,0.01
WinterFlounder,0,0.8,0,0.58,0,0.58,0,0.58,0.48,0,0.8,0,0.32,0,0.01,0,0.58,0,0.58,0.6,0,0.47,0,0.8,0,0.47,0,0.71,0,0.37,0,0.8
Squids<1.9,0.8,0.8,0.8,0.8,0.8,0,0.8,0.01,0.8,0.8,0.8,0.8,0,0.8,0,0.2,0.2,0.8,0,0.01,0.8,0.01,0.8,0.8,0.8,0,0.8,0.8,0.8,0.5,0.8,0.01
Squids,0.6,0.49,0,0.8,0,0.8,0,0.8,0.8,0,0.58,0,0.8,0,0.58,0,0.2,0,0.8,0.8,0,0.8,0,0.49,0,0.73,0,0.8,0,0.22,0,0.68
Flounders<3.5,0.8,0.8,0.8,0.8,0.8,0,0.8,0.01,0.8,0.8,0.8,0.8,0,0.8,0,0.8,0.8,0.3,0.3,0,0.8,0.01,0.8,0.8,0.8,0,0.8,0.8,0.8,0.5,0.8,0.01
Flounders,0,0.49,0,0.8,0,0.8,0,0.8,0.8,0,0.58,0,0.8,0,0.58,0,0.8,0,0.3,0.8,0,0.8,0,0.49,0,0.73,0,0.8,0,0.22,0,0.68
SkateRays,0,0.52,0,0.8,0,0.8,0,0.8,0.8,0,0.6,0,0.8,0,0.6,0,0.8,0,0.8,0.1,0,0.8,0,0.51,0,0.76,0,0.8,0,0.23,0,0.71
Hakes<2.1,0.8,0.8,0.8,0.8,0.8,0,0.8,0.01,0.8,0.8,0.8,0.8,0,0.8,0,0.8,0.8,0.8,0,0,0.3,0.3,0.8,0.8,0.8,0,0.8,0.8,0.8,0.5,0.8,0.01
Hakes,0,0.36,0,0.8,0,0.8,0,0.8,0.8,0,0.47,0,0.8,0,0.47,0,0.8,0,0.8,0.8,0,0.3,0,0.35,0,0.76,0,0.75,0,0,0,0.59
Benthopelagics<2,0.8,0.8,0.8,0.8,0.8,0,0.8,0.01,0.8,0.8,0.8,0.8,0,0.8,0,0.8,0.49,0.8,0,0,0.8,0.01,0.01,0.01,0.8,0,0.8,0.8,0.8,0.5,0.8,0.01
Benthopelagics,0.6,0.8,0.6,0.49,0.6,0.49,0.6,0.49,0.37,0.6,0.8,0.6,0.16,0.6,0.8,0.6,0.49,0.6,0.49,0.51,0.6,0.35,0.6,0.01,0.6,0.3,0.6,0.6,0.6,0.44,0.6,0.72
MiscellaneousDemersals<2.2,0.8,0.8,0.8,0.8,0.8,0,0.8,0.01,0.8,0.8,0.8,0.8,0,0.8,0,0.8,0.73,0.8,0,0,0.8,0.01,0.8,0.8,0.1,0.1,0.8,0.8,0.8,0.5,0.8,0.01
MiscellaneousDemersals,0,0.31,0,0.73,0,0.73,0,0.73,0.76,0,0.47,0,0.75,0,0.47,0,0.73,0,0.73,0.76,0,0.76,0,0.3,0,0.1,0,0.8,0,0,0,0.66
ShallowDemersal<2.3,0.8,0.8,0.8,0.8,0.8,0,0.8,0.01,0.8,0.8,0.8,0.8,0,0.8,0,0.8,0.8,0.8,0,0,0.8,0.01,0.8,0.8,0.8,0,0.01,0.01,0.8,0.5,0.8,0.01
ShallowDemersal,0.6,0.6,0.6,0.8,0.6,0.8,0.6,0.8,0.76,0.6,0.71,0.6,0.67,0.6,0.71,0.6,0.8,0.6,0.8,0.8,0.6,0.75,0.6,0.6,0.6,0.8,0.6,0.01,0.6,0.26,0.6,0.8
WhitePerch<1.75,0.8,0.8,0.8,0.8,0.8,0,0.8,0.01,0.8,0.8,0.8,0.8,0,0.8,0,0.8,0.22,0.8,0,0,0.8,0.01,0.8,0.8,0.8,0,0.8,0.8,0.01,0.01,0.8,0.01
WhitePerch,0,0.44,0,0.22,0,0.22,0,0.22,0,0,0.37,0,0,0,0.37,0,0.22,0,0.22,0.23,0,0,0,0.44,0,0,0,0.26,0,0.01,0,0.32
AtlanticTomcod<1.9,0.8,0.8,0.8,0.8,0.8,0,0.8,0.01,0.8,0.8,0.8,0.8,0,0.8,0,0.8,0.68,0.8,0,0,0.8,0.01,0.8,0.8,0.8,0,0.8,0.8,0.8,0.5,0.01,0.01
AtlanticTomcod,0,0.73,0,0.68,0,0.68,0,0.68,0.6,0,0.8,0,0.47,0,0.8,0,0.68,0,0.68,0.71,0,0.59,0,0.72,0,0.66,0,0.8,0,0.32,0,0.01
Diazotrophs,0.1,0,0.1,0,0,0,0.1,0,0,0.1,0,0.1,0,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0
LargePhytoplankton,0.8,0,1,0,0.05,0,1,0,0,1,0,1,0,1,0,0.01,0,1,0,0,1,0,0.8,0,1,0,0.3,0,1,0,1,0
LargeZooplankton,0.8,0.5,1,0.8,0.05,0,1,0,0,1,0,1,0,1,0,0.01,0,1,0,0,1,0,0.8,0.3,1,0,0.3,0.1,1,0,1,0
MediumPhytoplankton,0.8,0,1,0,0.05,0,1,0,0,1,0,1,0,1,0,0.01,0,1,0,0,1,0,0.8,0,1,0,0.3,0,1,0,1,0
MediumZooplankton,0.8,0.5,1,0.8,0.05,0,1,0,0,1,0,1,0,1,0,0.01,0,1,0,0,1,0,0.8,0.3,1,0,0.3,0.1,1,0,1,0
SmallPhytoplankton,0.8,0,1,0,0.05,0,1,0,0,1,0,1,0,1,0,0.01,0,1,0,0,1,0,0.8,0,1,0,0.3,0,1,0,1,0
SmallZooplankton,0.8,0.5,1,0.8,0.05,0,1,0,0,1,0,1,0,1,0,0.01,0,1,0,0,1,0,0.8,0.3,1,0,0.3,0.1,1,0,1,0
Benthos,0,0,0,0,0,0.01,0,0.1,1,0,0.3,0,0.5,0,0.01,0,0,0,0.02,1,0,0.05,0,0,0,0.05,0,0,0,0.3,0,0.01
