Year,MONTH,AtlanticHerring,AtlanticMackerel,BlackSeaBass,Scup,StripedBass,Goosefish,WinterFlounder,Squids,Flounders,SkateRays,Hakes,Benthopelagics,MiscellaneousDemersals,ShallowDemersal,WhitePerch,AtlanticTomcod
2004,10,NA,NA,NA,NA,60,NA,NA,0,3,0,6,1514,4405,1338,1552,317
2004,11,NA,NA,NA,1,30,NA,NA,0,NA,0,1,363,1300,16,1263,230
2005,3,2,NA,NA,NA,77,NA,2,NA,0,NA,NA,NA,NA,29,1188,26
2005,4,1,NA,NA,NA,29,NA,0,NA,6,NA,18,NA,NA,13,1179,1630.666667
2005,5,36.33333333,NA,NA,NA,10,NA,74,NA,1,NA,46,248,0,24,261,14311.33333
2005,9,NA,NA,NA,NA,616,NA,NA,0,3,0,1,6264,421,6066,915,1
2005,10,NA,NA,NA,2,618,NA,1,0,1,0,2,3125,4180,2971,2015,3
2005,11,NA,NA,NA,NA,645,NA,4,0,NA,0,6,88,4376,114,3554,1
2006,3,0,NA,NA,NA,48,NA,0,NA,3,NA,31,11,723,33,1069,0
2006,4,1,NA,NA,NA,13,NA,5,NA,4,NA,197,26,498,16,798,132
2006,5,14,NA,NA,NA,22,NA,54,NA,2,NA,38,518,290,113,377,1786
2006,9,NA,NA,NA,NA,247,NA,NA,0,NA,0,1,5140,83,235,868,19
2006,10,NA,NA,NA,NA,154,NA,NA,0,11,0,12,3488,2220,276,1904,30
2006,11,NA,NA,NA,NA,130,NA,3,0,1,0,14,23,2672,16,2208,28
2007,3,NA,NA,NA,NA,73,NA,0,NA,0,NA,NA,1,1,5,773,1
2007,4,0,NA,1,NA,60,NA,0,NA,2,NA,16,3,NA,14,1083,0
2007,5,1,NA,NA,NA,7,NA,70.33333333,NA,4,NA,11,280,0,18,319,1197
2007,9,NA,NA,NA,1,502,NA,NA,0,3,0,0,10825,522,2773,980,108
2007,10,NA,NA,NA,NA,144,NA,NA,0,1,0,1,2987,311,1688,887,54
2007,11,NA,NA,NA,NA,43,NA,3,0,2,0,2,2,117,7,1017,12
2008,3,38,NA,NA,NA,52,NA,0,NA,7,NA,1,NA,14,2,527,0
2008,4,8,NA,NA,NA,42,NA,0,NA,5,NA,68,17,9,14,893,19
2008,5,1,NA,NA,NA,6,NA,13,NA,3,NA,63,1589,7,126,197,6182
2008,9,NA,NA,NA,NA,396,NA,4,0,3,0,35,13724,185,6776,1747,39
2008,10,NA,NA,NA,NA,303,NA,4,0,5,0,14,5690,133,1615,1866,43
2008,11,NA,NA,NA,NA,96,NA,4,0,1,0,14,73,98,48,1419,19
2009,3,5,NA,NA,NA,64,NA,0,NA,57.33333333,NA,5,NA,NA,46,1599,1
2009,4,0,0,NA,NA,23,NA,1,NA,37.33333333,NA,60,61,NA,33,729,75
2009,5,11,0,NA,NA,8,NA,17,NA,19,NA,64,4029,0,102,212,4229.333333
2009,9,NA,NA,NA,NA,149,NA,NA,0,20,0,30,6695,556,250,1729,86
2009,10,NA,NA,NA,NA,136,NA,1,0,14,0,8,2332,570,203,2657,85
2009,11,NA,NA,NA,NA,92,NA,NA,0,6,0,63,88,137,12,1811,34
2010,3,0,NA,NA,NA,29,NA,0,NA,1,NA,3,2,NA,2,509,4
2010,4,0,NA,NA,NA,19,NA,0,NA,10,NA,178,55,NA,3,573,3543
2010,5,10,NA,NA,NA,15,NA,41,NA,9,NA,101,1136,0,13,287,9109
2010,9,NA,NA,NA,NA,841,NA,16,0,13,0,46,19525,55,6066,3016,38
2010,10,NA,NA,NA,NA,531,NA,4,0,6,0,37,2649,1236,2945,3903,21
2010,11,NA,NA,NA,NA,209,NA,2,0,NA,0,38,189,437,69,4023,10
2011,3,0,NA,NA,NA,76,NA,1,NA,16,NA,2,NA,NA,5,1671,0
2011,4,1,0,NA,NA,39,NA,0,NA,10,NA,29,NA,NA,17,1039,0
2011,5,12,0,NA,NA,16,NA,8,NA,17,NA,137,710,2,21,529,3212
2011,9,NA,NA,NA,NA,73,NA,4,0,NA,0,15,587,8,1640,1378,19
2011,10,NA,NA,NA,NA,14,NA,NA,0,NA,0,6,239,2,586,1307,23
2011,11,NA,NA,NA,NA,25,NA,NA,0,1,0,20,52,59,5,1646,28
2012,2,0,NA,NA,NA,22,NA,0,NA,1,NA,2,406,323.6666667,1,351,3
2012,3,0,NA,NA,NA,16,NA,0,NA,10,NA,63,422,191.6666667,8,416,4
2012,5,NA,NA,NA,NA,1,NA,12,NA,4,NA,3,1276,92,397.6666667,64,914
2012,9,NA,NA,NA,NA,382,NA,NA,0,1,0,0,18606,261,2383,1073,4
2012,10,NA,NA,NA,NA,268,NA,NA,0,4,0,11,11952,1048,3359,1576,7
2012,11,1,NA,3,NA,232,NA,1,0,2,0,129,612,3465,158,2889,6
2013,3,0,NA,NA,NA,40,NA,0,NA,0,NA,9,229,85,132,725,0
2013,4,4,0,1,NA,40,NA,4,NA,9,NA,257,217,66,108,937,91
2013,5,39,0,NA,NA,20,0,101,NA,16,NA,198,1622,111,776.6666667,522,1342
2013,9,NA,NA,NA,NA,196,NA,NA,0,3,0,27,9529,315,53,843,121
2013,10,NA,NA,NA,NA,129,NA,NA,0,2,0,28,4186,2416,55,478,93
2013,11,NA,NA,NA,NA,74,NA,NA,0,3,0,31,375,2659,44,1079,40
2014,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0
2014,4,0,NA,NA,NA,41,NA,0,NA,9,NA,25,NA,0,1,390,0
2014,5,NA,NA,NA,NA,16,NA,16,NA,11,NA,185,135,1,25,156,4245
2014,9,NA,NA,1,NA,833,NA,1,0,2,0,4,12076,386,9452,1000,394
2014,10,NA,NA,NA,NA,363,NA,NA,0,4,0,9,4686,5039,4444,1116,233
2014,11,NA,NA,NA,NA,219,NA,NA,0,6,0,13,909,7937,256,1361,189
2015,3,NA,NA,NA,NA,22,NA,0,NA,1,NA,NA,0,NA,11,207,3
2015,4,0,0,NA,NA,133,NA,0,NA,4,NA,16,NA,0,62,1115,21
2015,5,13,0,NA,NA,43,NA,32,NA,4,NA,47,56,0,61,416,10624
2015,9,NA,NA,NA,NA,283,NA,NA,0,NA,0,7,9858,82,2545,301,9
2015,10,NA,NA,NA,NA,205,NA,NA,0,2,0,0,3484,1209,840,352,7
2015,11,NA,NA,NA,NA,110,NA,3,0,1,0,24,315,2324,155,767,7
2016,3,0,NA,NA,NA,36,NA,0,NA,1,NA,23,77,18,71,605,21
2016,4,1,NA,1,NA,11,NA,0,NA,0,NA,15,163,28,69,373,174
2016,5,3,NA,NA,NA,11,NA,27,NA,2,NA,56,665,27,145.6666667,175,2480
2016,9,NA,NA,NA,NA,88,NA,NA,0,NA,0,1,12900,267,1443,356,1
2016,10,NA,NA,NA,1,34,NA,NA,0,NA,0,3,3628,112,720,438,1
2016,11,NA,NA,NA,NA,44,NA,NA,0,NA,0,6,2094,278,316,533,NA
2017,3,0,NA,NA,NA,30,NA,0,NA,1,NA,17,202,82,16,333,0
2017,4,0,0,1,NA,35,NA,2,NA,6,NA,76,228,98,19,636,17
2017,5,2,0,NA,NA,22,NA,13,NA,7,NA,117,428,69,82,222,381
2017,9,NA,NA,NA,NA,256,NA,NA,0,NA,0,14,5718,231,1186,546,44
2017,10,NA,NA,NA,NA,152,NA,NA,0,NA,0,12,3489,222,469,436,37
2017,11,NA,NA,NA,NA,104,NA,NA,0,NA,0,37,549,244,115,1985,52
2018,9,NA,NA,NA,NA,1276,NA,NA,0,13,0,2,5915,143,7215,1310,13
2018,10,NA,NA,NA,2,510,NA,NA,0,10,0,7,3439,82,3985,1505,42
2018,11,NA,NA,NA,NA,195,NA,NA,0,2,0,57,274,90,75,1228,13
